Order_ID,Category,Region,Segment,Sales,Profit,Discount,Quantity,Customer_Rating,Delivery_Time_Days,Marketing_Spend,Competitor_Price_Index
1,Category_7,North,Government,1977.9,53.96,0.29,14,4.0,2,230.34,0.84
2,Category_20,North-East,Enterprise,465.67,1225.5,0.48,6,2.4,7,482.18,0.97
3,Category_15,North,Enterprise,132.64,633.25,0.18,11,4.5,9,341.94,0.85
4,Category_11,West,Government,808.58,1473.52,0.09,15,1.2,5,841.07,0.96
5,Category_8,International,Government,1911.66,1471.02,0.03,11,2.0,5,1732.89,0.86
6,Category_21,East,Government,1270.16,-112.13,0.07,19,3.8,4,1687.04,1.12
7,Category_7,North-East,Consumer,4139.82,-478.36,0.43,19,2.7,2,970.67,1.03
8,Category_19,South,Enterprise,2797.56,510.02,0.21,10,4.8,1,514.16,1.11
9,Category_23,International,SME,1586.17,672.02,0.05,12,1.7,4,1264.13,0.89
10,Category_11,East,Home Office,1737.76,1002.89,0.08,6,4.3,3,616.77,1.03
11,Category_11,International,SME,1206.89,1039.26,0.4,4,3.3,9,926.41,1.12
12,Category_24,East,Consumer,4926.16,230.56,0.19,4,4.0,10,385.26,1.02
13,Category_21,North,Home Office,1761.0,218.15,0.27,2,2.9,6,770.82,0.83
14,Category_4,North,Corporate,1600.03,632.48,0.29,4,1.9,1,1393.79,1.18
15,Category_8,International,Corporate,377.09,229.82,0.25,19,2.2,11,227.97,1.05
16,Category_24,International,Consumer,2168.17,10.67,0.1,13,3.6,1,280.57,1.16
17,Category_3,North,Corporate,1784.39,-77.72,0.32,18,3.0,9,1566.72,0.82
18,Category_22,South,Corporate,2788.67,661.81,0.1,11,3.9,3,137.13,0.97
19,Category_21,International,Home Office,453.23,524.52,0.27,3,3.5,3,1714.82,0.91
20,Category_2,East,Enterprise,617.66,665.65,0.31,11,1.4,9,1056.39,1.15
21,Category_24,South,Enterprise,1937.63,1416.43,0.1,13,4.1,14,408.37,1.07
22,Category_12,Central,SME,2595.03,1490.05,0.28,15,4.5,5,1001.03,0.84
23,Category_6,East,Corporate,3021.81,569.65,0.07,7,2.6,10,1097.72,0.87
24,Category_2,North-East,Consumer,3078.53,-445.46,0.43,7,1.5,12,1536.01,1.0
25,Category_21,South,Enterprise,1956.1,1435.07,0.44,1,2.4,6,339.3,1.08
26,Category_1,International,Home Office,3206.48,166.52,0.25,19,3.3,9,199.92,0.84
27,Category_12,South,Corporate,3468.91,454.75,0.49,18,4.1,14,653.28,0.92
28,Category_22,West,Corporate,4846.53,-361.25,0.42,19,2.4,14,1753.17,0.92
29,Category_12,South,Enterprise,2924.53,167.76,0.04,10,1.0,12,1950.97,0.97
30,Category_25,International,Consumer,2183.28,276.95,0.47,10,3.7,1,1958.07,0.87
31,Category_17,International,Enterprise,270.95,505.47,0.24,9,3.2,2,163.44,0.92
32,Category_10,South,Home Office,4936.71,627.47,0.42,4,1.6,7,1008.36,1.08
33,Category_16,International,Home Office,4589.94,1338.7,0.13,19,1.2,5,193.18,0.84
34,Category_15,International,Government,4726.48,-300.11,0.07,12,1.4,3,463.31,1.02
35,Category_15,West,Enterprise,1995.88,133.3,0.13,8,3.4,13,1722.39,1.17
36,Category_19,South,Corporate,1537.04,1135.68,0.26,19,4.6,7,1815.93,1.01
37,Category_12,East,Home Office,2438.86,165.83,0.05,11,1.3,7,1984.44,1.05
38,Category_23,North,Government,1025.3,994.81,0.43,17,2.3,4,832.99,1.18
39,Category_20,East,Government,3006.46,287.93,0.41,12,1.9,14,1624.3,0.93
40,Category_25,North,Consumer,992.96,1193.55,0.1,19,3.4,8,1086.61,1.02
41,Category_3,West,Consumer,2846.31,282.44,0.07,11,2.8,14,641.18,1.15
42,Category_5,South,Home Office,3542.15,602.28,0.19,1,4.0,9,1491.17,0.96
43,Category_19,North-East,Corporate,3316.61,-241.02,0.1,14,3.9,2,394.35,1.09
44,Category_7,International,Government,4455.43,861.47,0.21,6,1.1,10,162.7,1.09
45,Category_21,International,Consumer,1859.36,896.75,0.48,4,1.4,6,1206.92,0.95
46,Category_9,North-East,Corporate,2768.0,-463.54,0.16,2,4.5,11,1110.56,1.03
47,Category_7,West,Consumer,3139.73,975.85,0.03,5,3.0,13,459.83,0.98
48,Category_18,International,Home Office,481.27,151.19,0.18,9,2.3,1,1102.49,0.96
49,Category_4,West,Consumer,1639.79,-434.61,0.24,8,4.0,14,1131.43,1.06
50,Category_25,West,Corporate,3449.35,-84.94,0.45,6,3.0,6,205.92,1.03
51,Category_14,East,Government,4374.41,-53.03,0.35,12,3.8,9,633.25,1.01
52,Category_18,West,Corporate,347.86,-176.07,0.15,8,3.8,4,1471.45,1.09
53,Category_9,North-East,Home Office,4826.89,556.87,0.08,7,3.3,9,1584.19,1.02
54,Category_21,South,Home Office,890.04,1135.22,0.39,18,1.1,10,493.38,0.81
55,Category_2,Central,Consumer,2682.26,763.24,0.01,3,4.6,2,276.29,1.12
56,Category_20,West,Consumer,849.05,56.77,0.25,14,3.9,8,198.5,0.9
57,Category_15,North,Government,4295.88,1480.57,0.29,18,4.0,4,969.73,0.99
58,Category_7,South,Government,1285.22,493.71,0.23,18,1.2,7,238.21,1.02
59,Category_12,South,SME,4620.59,351.19,0.44,16,2.9,8,1920.29,1.2
60,Category_8,Central,SME,2861.9,650.34,0.41,19,3.0,5,1178.08,1.12
61,Category_15,North-East,Corporate,3384.41,316.2,0.05,3,2.6,5,808.17,0.99
62,Category_3,South,Government,633.38,-19.0,0.29,15,3.4,10,973.21,1.14
63,Category_14,South,Home Office,1655.21,-406.23,0.08,12,3.6,2,308.3,1.1
64,Category_17,International,Enterprise,2547.07,1098.32,0.36,1,3.6,14,973.01,1.17
65,Category_4,West,Corporate,2670.96,1056.03,0.1,14,5.0,5,1063.75,0.89
66,Category_18,Central,Corporate,1456.36,1390.8,0.46,9,3.6,10,928.91,1.13
67,Category_8,West,Consumer,1996.3,956.51,0.08,9,4.6,5,302.36,0.96
68,Category_4,Central,Home Office,1825.01,158.27,0.27,19,3.5,4,214.07,1.13
69,Category_2,Central,Corporate,1447.48,66.1,0.27,18,2.9,4,1745.11,0.96
70,Category_6,West,Corporate,1768.39,-470.97,0.28,13,1.1,13,1571.38,1.18
71,Category_22,South,Government,635.79,1246.91,0.08,16,3.6,14,1854.84,0.82
72,Category_10,North-East,Corporate,3238.16,981.17,0.1,8,3.6,5,741.99,1.16
73,Category_4,East,Consumer,4094.02,815.42,0.41,2,5.0,9,869.75,1.07
74,Category_22,West,SME,1833.27,-37.28,0.07,19,3.9,3,1890.81,0.98
75,Category_18,Central,Consumer,4286.24,-233.16,0.47,12,3.1,2,1017.3,1.2
76,Category_12,West,Home Office,4506.58,1042.31,0.14,13,2.8,2,1112.99,1.07
77,Category_2,North-East,Corporate,2500.59,1411.59,0.39,8,2.9,13,972.39,0.81
78,Category_10,South,Consumer,2054.59,-436.58,0.4,18,3.4,6,591.2,0.92
79,Category_4,East,Consumer,4368.95,-133.0,0.49,4,4.3,1,1132.53,0.84
80,Category_14,South,Consumer,2189.07,302.74,0.03,19,2.5,3,648.5,0.82
81,Category_16,Central,Consumer,3168.82,109.77,0.47,12,4.1,3,106.26,1.04
82,Category_15,Central,Consumer,1067.66,643.25,0.05,3,2.1,8,1977.9,1.0
83,Category_8,Central,Corporate,228.83,605.16,0.27,13,3.6,3,1416.48,0.83
84,Category_14,Central,Government,2185.29,-13.77,0.19,10,3.9,10,1549.68,1.16
85,Category_23,East,Enterprise,3725.7,155.68,0.09,14,4.0,13,601.77,0.86
86,Category_25,North-East,SME,918.21,339.07,0.26,9,4.4,14,1859.04,0.88
87,Category_8,International,Enterprise,355.44,160.11,0.07,4,3.2,8,1522.13,0.94
88,Category_21,East,Government,3914.58,-255.39,0.34,14,4.9,9,638.49,1.03
89,Category_16,Central,Corporate,4648.83,627.82,0.06,7,1.2,6,1621.92,0.98
90,Category_13,West,SME,1422.37,-110.18,0.41,2,4.8,13,201.89,1.2
91,Category_18,North,Home Office,1486.94,498.26,0.28,2,3.9,5,1677.52,1.0
92,Category_15,West,SME,1173.16,1043.84,0.15,18,2.7,11,1671.75,1.16
93,Category_21,West,Corporate,4805.49,772.7,0.2,14,3.1,13,1585.56,1.1
94,Category_24,North-East,Government,4280.07,1365.03,0.33,17,4.6,3,783.37,1.09
95,Category_25,Central,SME,1843.42,592.8,0.49,2,3.9,4,328.15,1.07
96,Category_13,International,Corporate,3213.44,-313.26,0.19,7,2.7,2,1152.68,1.01
97,Category_9,East,Home Office,3908.64,-427.19,0.44,15,1.5,10,136.25,1.18
98,Category_15,East,Consumer,1210.01,1435.62,0.43,2,1.5,13,1771.85,0.88
99,Category_13,North-East,Home Office,855.87,-476.17,0.1,4,1.4,9,722.73,1.12
100,Category_1,West,Government,3033.0,395.16,0.07,3,3.7,7,862.57,0.84
101,Category_25,International,Home Office,2451.54,1253.91,0.15,17,4.4,6,510.53,1.15
102,Category_7,West,Enterprise,351.71,383.3,0.5,14,3.2,9,1453.49,1.09
103,Category_9,West,Enterprise,385.81,563.02,0.43,16,1.2,3,1490.44,0.96
104,Category_24,North-East,SME,1937.43,1151.84,0.28,18,3.1,8,1079.2,0.89
105,Category_1,Central,Enterprise,4969.65,1370.79,0.41,18,3.7,2,1762.82,0.92
106,Category_12,South,Enterprise,313.3,1021.41,0.33,13,3.6,14,1578.37,0.88
107,Category_8,North,SME,174.81,1274.72,0.25,9,2.0,10,1556.88,0.9
108,Category_24,Central,Government,4333.74,241.11,0.43,13,2.0,2,404.96,0.85
109,Category_11,North,Consumer,4035.05,839.99,0.42,17,1.9,10,690.74,1.01
110,Category_19,South,Enterprise,512.46,1311.38,0.13,19,1.6,7,151.16,1.08
111,Category_17,South,Enterprise,3705.2,1132.41,0.4,6,4.7,5,695.93,1.0
112,Category_8,Central,Government,4705.61,-333.99,0.29,12,1.3,10,426.34,1.07
113,Category_3,East,Enterprise,1773.07,-158.99,0.19,12,2.3,6,1248.63,0.95
114,Category_3,East,Corporate,2677.88,362.11,0.38,1,1.2,8,524.01,0.95
115,Category_1,North,SME,4384.76,947.49,0.34,14,1.1,1,1094.9,0.91
116,Category_5,East,Corporate,1927.42,-248.75,0.37,19,2.6,8,1459.85,1.14
117,Category_10,West,SME,1945.03,662.9,0.31,15,3.3,8,1030.29,0.92
118,Category_7,West,Government,4942.92,62.01,0.49,19,2.6,6,1644.24,1.2
119,Category_9,South,Government,285.65,82.32,0.36,9,4.7,13,888.17,1.04
120,Category_7,Central,Government,103.32,268.2,0.33,2,1.5,1,755.15,1.16
121,Category_9,East,Home Office,970.47,562.68,0.44,4,2.2,11,1798.83,1.07
122,Category_8,International,Government,4024.01,1428.69,0.06,3,4.9,1,1466.79,0.84
