Order ID,Order Date,Customer Name,Region,State,City,Category,Sub-Category,Sales,Quantity,Profit
CA-2015-100000,14-02-2015,Customer_154,South,Texas,New York City,Office Supplies,Storage,712.63,10,-82.43
CA-2016-100001,09-09-2015,Customer_155,East,California,Chicago,Technology,Accessories,948.87,7,264.96
CA-2017-100002,02-11-2016,Customer_460,Central,Florida,Houston,Office Supplies,Paper,569.15,5,-26.09
CA-2018-100003,01-08-2017,Customer_267,West,California,Houston,Technology,Phones,98.39,5,179.06
CA-2015-100004,08-11-2017,Customer_49,Central,California,Chicago,Furniture,Bookcases,504.97,9,-35.09
CA-2016-100005,01-04-2016,Customer_9,East,New York,Chicago,Office Supplies,Binders,108.7,1,238.08
CA-2017-100006,10-11-2017,Customer_283,Central,Florida,Miami,Furniture,Tables,198.53,10,-56.03
CA-2018-100007,13-12-2018,Customer_259,East,Florida,Los Angeles,Office Supplies,Storage,113.3,9,136.27
CA-2015-100008,21-05-2017,Customer_175,East,Texas,Chicago,Furniture,Tables,313.29,7,162.09
CA-2016-100009,30-08-2018,Customer_320,East,New York,Miami,Office Supplies,Binders,763.19,9,-84.49
CA-2017-100010,17-12-2015,Customer_314,South,Texas,Chicago,Office Supplies,Binders,802.25,10,-62.15
CA-2018-100011,04-07-2018,Customer_484,East,Florida,New York City,Office Supplies,Storage,389.85,8,93.64
CA-2015-100012,27-01-2015,Customer_218,South,Illinois,Chicago,Technology,Phones,955.37,5,214.66
CA-2016-100013,18-09-2018,Customer_84,West,Texas,Los Angeles,Technology,Accessories,897.05,2,105.74
CA-2017-100014,18-06-2018,Customer_283,South,California,Miami,Technology,Accessories,516.38,7,-24.73
CA-2018-100015,05-02-2017,Customer_301,West,New York,New York City,Office Supplies,Storage,516.21,4,-80.81
CA-2015-100016,23-09-2015,Customer_296,East,California,Chicago,Technology,Copiers,871.21,5,42.58
CA-2016-100017,07-10-2015,Customer_221,West,Florida,Chicago,Furniture,Bookcases,743.16,7,-29.32
CA-2017-100018,18-08-2017,Customer_407,East,New York,New York City,Furniture,Chairs,789.07,9,-88.31
CA-2018-100019,18-09-2017,Customer_63,Central,Florida,Los Angeles,Technology,Copiers,32.46,4,14.36
CA-2015-100020,30-11-2016,Customer_363,West,Illinois,New York City,Office Supplies,Binders,304.73,3,45.04
CA-2016-100021,11-09-2016,Customer_33,Central,California,Miami,Office Supplies,Paper,485.04,9,106.25
CA-2017-100022,16-01-2016,Customer_180,Central,California,Houston,Furniture,Chairs,749.83,1,67.98
CA-2018-100023,15-01-2019,Customer_214,South,Illinois,New York City,Technology,Copiers,526.23,3,96.9
CA-2015-100024,07-05-2015,Customer_92,East,California,New York City,Technology,Copiers,549.65,2,88.3
CA-2016-100025,12-02-2015,Customer_227,South,New York,Los Angeles,Technology,Phones,675.35,9,164.64
CA-2017-100026,31-07-2016,Customer_284,West,California,Chicago,Office Supplies,Binders,842.71,5,152.63
CA-2018-100027,07-09-2017,Customer_296,Central,Texas,Los Angeles,Furniture,Chairs,695.04,10,284.04
CA-2015-100028,14-03-2018,Customer_184,East,Florida,Miami,Technology,Copiers,264.01,9,-57.13
